competition_name,competition_short_name,competition_level,category,organizer,suitable_majors,required_skills,directions,entry_format,preparation_cycle,time_requirement_level,difficulty_level,registration_time,submission_time,team_type,suitable_for_project_transfer,required_materials,risk_points,source_link,suitable_award_goals,suitable_for_baoyan,award_rate_reference
"""外研社·国才杯""""理解当代中国""全国大学生外语能力大赛",外研社·国才杯,国家级A类（A4）,外语类,外语教学与研究出版社、教育部高等学校大学外语教学指导委员会,"英语,翻译,商务英语,外语类","英语写作,英语演讲,英语阅读,英语笔译/口译,跨文化沟通","英语演讲,英语写作,英语阅读,英语笔译,英语口译,多语种组(日语/德语/法语/俄语/西班牙语等),短视频组","写作稿件,演讲稿,笔译译文,口译现场表现,短视频作品",1-3个月,2,中,每年6-9月（以官方通知为准）,10-11月校赛/12月省赛/次年1-6月国赛,个人,否,"英语演讲/写作/阅读教材,历年赛题,英语时政文献,口译笔记练习","各赛项独立评审需专注单一赛项,国赛竞争激烈",https://uchallenge.unipus.cn,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"""工行杯""全国大学生金融科技创新大赛",工行杯,国家级A类（A4）,经管类,中国工商银行,"金融学,经济学,工商管理,计算机科学与技术","金融科技,Java/Python,移动开发,产品设计,商业计划书,PPT答辩","金融科技创新赛道,金融创意赛道","金融科技作品(软件/APP/方案),商业计划书,演示视频,答辩PPT",1-3个月,2,中,每年9-12月（以官方通知为准）,12月作品提交/次年1-3月评审/3-4月全国决赛,团队（3-5人/队）,是,"金融科技产品Demo,商业计划书,技术方案文档,演示视频,答辩PPT","需兼顾金融业务理解与技术实现,企业命题需精准满足银行需求",中国工商银行通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国大学生机械工程创新创意大赛,机械工程创新创意大赛,国家级A类（A4）,机械类,中国机械工程学会,"智能制造工程,材料成型及控制工程,机械工程,机械设计制造及其自动化","机械设计,SolidWorks/CAD,CAE分析,材料工艺,创新设计","铸造工艺设计赛,智能制造赛,物流技术创意赛,工业工程与精益管理创新赛等","设计方案,工艺文件,三维模型,实物样品,技术报告",3个月以上,3,中,每年3-5月（以官方通知为准）,6-7月省赛/8月国赛,团队（3-5人/队）,是,"三维模型(SolidWorks/CATIA),设计图纸,工艺文件,实物样品,技术报告","各赛道赛题差异大,需仔细选择与专业匹配的赛道",http://www.cmec.org.cn,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生计算机系统能力大赛,计算机系统能力大赛,国家级A类（A4）,计算机类,教育部高等学校计算机类专业教学指导委员会、系统能力培养研究专家组,"计算机科学与技术,软件工程,信息安全","计算机体系结构,操作系统,编译原理,RISC-V,CPU设计,C语言,Linux","CPU设计赛道(龙芯杯),操作系统设计赛道,编译系统设计赛道,数据库设计赛道","CPU设计代码(RTL),操作系统内核,编译器和数据库源码,设计文档,演示视频",3个月以上,3,高,每年3-5月（以官方通知为准）,7月作品提交/8月全国总决赛,团队（1-5人/队，指导教师1-2人）,部分,"FPGA开发板,Verilog/VHDL开发环境,RISC-V工具链,设计文档","CPU设计/操作系统开发难度极大,学习曲线陡峭,需要扎实的计算机系统基础",教育部计算机类专业教指委通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生工业设计大赛,工业设计大赛,国家级A类（A4）,设计类,教育部高等学校工业设计专业教学指导委员会、广东省教育厅,"工业设计,产品设计,视觉传达设计,交互设计","工业设计,产品设计,手绘/建模(Rhino/Alias),人机工程,CMF设计,用户研究,设计思维","A-智慧出行与创新,B-科技与未来生活,C-文化创新与融合,D-乡村振兴与可持续,E-跨界与协同创新","产品设计效果图,三维模型,实物样机/模型,设计展板,设计说明书",3个月以上,3,中,每年5-7月（以官方通知为准）,7月作品提交/8月初评/9月终评,个人或团队（≤5人/队，指导教师≤2人）,是,"产品设计方案,效果图,三维模型(Rhino/SolidWorks),展板,实物模型","设计类评审主观性较强,需兼顾创意与产业化可行性",教育部工业设计专业教指委通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"全国大学生电子商务""创新、创意及创业""挑战赛",三创赛,国家级A类（A4）,创新创业类,教育部高等学校电子商务类专业教学指导委员会,"电子商务,工商管理,市场营销,信息管理与信息系统","商业计划书,市场调研,商业模式设计,PPT,答辩,新媒体运营","跨境电商,直播电商,数字商业,B2B外贸,乡村振兴等","作品申报书,商业计划书,演示视频,PPT",1-3个月,2,中,每年3-4月（以官方通知为准）,5-6月省赛/7-8月国赛,团队（3-5人/队）,是,"商业计划书,市场调研报告,产品/服务Demo,运营数据(如有),答辩PPT","企业命题需精准把握需求,电商类需实际运营数据支撑",http://www.3chuang.net,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国机器人大赛暨RoboCup机器人世界杯中国赛,RoboCup中国赛,国家级A类（A4）,机械类/电子类,中国自动化学会、RoboCup中国委员会,"机器人工程,机械工程,自动化,计算机科学与技术","机器人控制,嵌入式开发,机器视觉,ROS,SLAM,多机器人协同,C++/Python","RoboCup足球机器人(仿真/小型/类人),机器人先进视觉赛,无人机挑战赛,救援机器人,服务机器人","机器人实物,控制程序,技术文档,演示",3个月以上,3,高,每年3-5月（以官方通知为准）,7月分区赛/8月全国赛,团队（3-8人/队）,部分,"机器人平台,开发环境(ROS/Linux),传感器,机械结构,源代码","机器人系统复杂调试周期长,比赛现场不确定因素多,经费投入大",中国自动化学会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国大学生先进成图技术与产品信息建模创新大赛,先进成图大赛,国家级A类（A4）,机械类/土木类,中国图学学会,"测控技术与仪器,建筑学,智能建造,机械工程,土木工程","AutoCAD,SolidWorks,三维建模,工程制图,BIM,轻量化设计,AI应用","机械类(先进成图/增材制造/轻量化/AI/数字化创新),建筑类(成图/BIM/智能结构/全过程咨询),道桥类,水利类,电子类,环艺类","三维模型,工程图纸,设计说明书,增材制造实物",3个月以上,3,中,每年3-4月（以官方通知为准）,5月省赛/7-8月全国总决赛,个人或团队（每校每类限1队，每队≤20人）,部分,"3D建模软件(SolidWorks/CATIA),CAD制图工具,计算机硬件,绘图工具,历年赛题","建模软件熟练度决定比赛效率,省赛晋级国赛名额有限,多赛道同时准备压力大",http://www.chengtudasai.com,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"""西门子杯""中国智能制造挑战赛",西门子杯,国家级A类（A4）,电子类/自动化类,教育部高等学校自动化类专业教学指导委员会、西门子(中国)有限公司,"自动化,电气工程及其自动化,机械电子工程,智能制造工程","PLC编程,工业自动化,过程控制,运动控制,工业网络,SCADA","智能制造工程设计与应用类(流程行业自动化/离散行业自动化),智能制造创新研发类(自由探索/企业命题)","系统设计方案,仿真模型,实物演示,源代码,技术报告",3个月以上,3,高,每年3-5月（以官方通知为准）,6月初赛/7-8月全国总决赛,团队（3人/队，指导教师1-2人）,部分,"PLC编程软件(TIA Portal),工业仿真软件,自动化设备,技术方案文档","设备依赖性强(西门子平台),软硬件结合调试难度大,需专业实验室支持",教育部自动化教指委通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
两岸新锐设计竞赛·华灿奖,华灿奖,国家级A类（A4）,设计类,中国高等教育学会,"艺术设计,视觉传达设计,产品设计,环境设计,数字媒体艺术","视觉传达设计,产品设计,环境设计,数字媒体,创意策划,Photoshop,AI","平面设计类,产品设计类,空间设计类,数字媒体类,文创设计类","设计作品源文件,展板,设计说明,实物模型",1-3个月,2,中,每年4-7月（以官方通知为准）,7-8月作品提交/9-10月评审/11月颁奖,个人或团队（≤5人/队）,是,"设计软件(PS/AI/3DMax),作品源文件,打印展板,设计说明书","设计类评审主观性较强,两岸高校参赛基数大",中国高等教育学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
米兰设计周--中国高校设计学科师生优秀作品展,米兰设计周,国家级A类（A4）,设计类,中国教育国际交流协会,"公共艺术,艺术设计,视觉传达设计,环境设计,工业设计","视觉传达设计,环境设计,产品设计,服装设计,数字媒体,创意表达","设计类(视觉传达/环境/产品/服装/数字媒体),论文类(艺术设计理论研究)","设计作品图片+说明,学术论文",1-3个月,2,中,每年10月-次年2月（以官方通知为准）,3月作品提交/5月评审/6月展览,个人或团队（≤3人/队）,是,"设计作品高清图片,设计说明文档,作品展板(打印)","国际化评审标准,提交作品需有中英文双语说明",中国教育国际交流协会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国高校计算机大赛,中国高校计算机大赛(C4),国家级A类（A4）,计算机类,全国高等学校计算机教育研究会,"数据科学与大数据技术,计算机科学与技术,软件工程（大数据挑战赛）","Java,Python,Web开发,数据结构,算法,AI,UI设计,嵌入式开发","团体程序设计天梯赛,大数据挑战赛,移动应用创新赛,人工智能创意赛,网络技术挑战赛,嵌入式设计赛,AIGC创新赛,智能交互创新赛","源代码,算法提交,系统作品,设计文档,演示视频",1-3个月,2,中,每年3-5月（各子赛道不同，以官方通知为准）,每年5-8月（各子赛道不同）,个人或团队（视具体子赛道而定，一般≤5人/队）,是,"编程环境,算法模板,项目源代码,设计文档,演示视频","子赛道众多需仔细选择,各赛道赛制差异大",http://www.c4best.cn,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生智能汽车竞赛,智能汽车竞赛,国家级A类（A4）,电子类,教育部高等学校自动化类专业教学指导委员会,"电子信息工程,自动化,计算机科学与技术,机械电子工程","单片机,嵌入式系统,电机控制,机器视觉,PID控制,传感器融合,电路设计","基础四轮组,单车拉力组,电磁越野组,智能视觉组,极速越野组,智能交通组等","智能小车实物,技术报告,演示视频",3个月以上,3,高,每年11月-次年3月（以官方通知为准）,4-7月分赛区/8月全国总决赛,团队（3-5人/队）,否,"单片机开发板,电机驱动模块,传感器(摄像头/电磁/超声波),车模底盘,电池,技术报告","硬件调试耗时,机械故障风险,赛道环境变化影响大,经费投入较大",https://smartcar.cdstm.cn,"校奖,省奖,国奖",是,省级获奖率约10-15%
中华经典诵写讲大赛,中华经典诵写讲大赛,国家级A类（A4）,外语类/人文类,教育部、国家语委,"汉语国际教育,英语,汉语言文学,外语类","经典诵读,汉字书写,诗词讲解,篆刻","诵读大赛,书写大赛,讲解大赛,篆刻大赛","诵读视频,书法作品,讲解视频,篆刻作品",1-3个月,2,低,每年4-6月（以官方通知为准）,7月作品提交/8-9月评审,个人,部分,"经典诵读材料,书法用品,录制设备,作品说明",评审主观性较强,教育部暨国家语委通知,"校奖,省奖,国奖",是,"获奖率较高,具体以官方为准"
未来设计师·全国高校数字艺术设计大赛(NCDA),未来设计师大赛(NCDA),国家级A类（A4）,设计类,工业和信息化部人才交流中心,"产品设计,工业设计,视觉传达设计,数字媒体艺术,环境设计","UI设计,视觉传达,数字媒体,动画,VR/AR,游戏设计,Photoshop,Unity","视觉传达设计,数字影像与视频设计,交互设计,环境空间设计,造型设计,时尚设计,数字绘画,数字音乐,游戏设计,元宇宙+设计","设计源文件,数字作品,视频,展板,设计说明",1-3个月,2,中,每年4-6月（以官方通知为准）,6月作品提交/7月省赛/8月国赛,个人或团队（≤6人/队）,是,"设计软件(PS/AI/Unity/Blender),作品源文件,展板,视频,设计说明","赛道多需精准选择,非命题赛道竞争自由度高",工业和信息化部人才交流中心通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生统计建模大赛,统计建模大赛,国家级A类（A4）,数学类,中国统计教育学会,"统计学,应用统计学,数学,经济学,数据科学","统计学,数据建模,Python/R,数据可视化,论文写作,PPT答辩","本科生组,研究生组(自主选题)","统计建模论文,数据与代码,答辩PPT",1-3个月,2,中,每年2-4月（以官方通知为准）,5月论文提交/7月省赛/8月国赛,团队（3人/队）,部分,"统计软件(R/Python/SPSS),建模论文,数据源,答辩PPT","论文质量要求较高,数据来源需可靠",中国统计教育学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国三维数字化创新设计大赛(3D大赛),3D大赛,国家级A类（A4）,设计类/机械类,科技部国家制造业信息化培训中心、中国图学学会,"工业设计,城乡规划,机械设计,产品设计,建筑学","三维建模,SolidWorks/3ds Max/Maya,3D打印,数字孪生,VR/AR,创新设计","数字工业设计大赛,数字人居设计大赛,数字文化设计大赛,元宇宙创建大赛","三维模型,设计说明书,演示动画/视频,3D打印实物",3个月以上,3,中,每年3-6月（以官方通知为准）,6-7月作品提交/8月省赛/10月国赛,团队（3-5人/队，指导教师1-2人）,是,"3D建模软件,三维模型文件,设计说明书,演示动画,3D打印样品","三维建模对设备和软件要求较高,省赛晋级国赛竞争激烈",科技部国家制造业信息化培训中心通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"""大唐杯""全国大学生新一代信息通信技术大赛",大唐杯,国家级A类（A4）,电子类/通信类,工业和信息化部人才交流中心、中国通信学会,"通信工程,电子信息工程,信息工程,计算机科学与技术","移动通信,5G/6G,通信原理,网络规划,信号处理,Python","本科组,研究生组(移动通信技术/网络规划/通信工程)","理论笔试+仿真操作,方案设计报告",1-3个月,2,中,每年12月-次年3月（以官方通知为准）,4月省赛/6月全国赛,个人或团队（≤3人/队）,否,"移动通信教材,5G网络仿真软件,历年真题,通信原理笔记","知识面覆盖广,需紧跟通信技术前沿,实操环节需专业设备",工业和信息化部人才交流中心通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国本科院校税收风险管控案例大赛,税收风控大赛,国家级A类（A4）,经管类,中国注册税务师协会,"财政学,税收学,会计学,财务管理,审计学","税务管理,会计学,财务分析,税收法规,风险识别,案例分析,PPT答辩",本科组(税务风险管理案例分析),"案例分析报告,风险管控方案,答辩PPT",1-3个月,2,中,每年5-9月（以官方通知为准）,9-10月省赛/11月全国总决赛,团队（3人/队，指导教师1-2人）,否,"中国税法汇编,企业财务报表,案例分析模板,PPT","税收政策更新快需持续跟进,案例分析需深入挖掘企业实际问题",中国注册税务师协会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中美青年创客大赛,中美创客大赛,国家级A类（A4）,创新创业类,教育部,全专业,"创新思维,硬件开发,软件开发,设计思维,产品原型,团队协作,路演","主赛道(人工智能/物联网/可持续发展等),分赛道(各分赛区)","作品实物/原型,项目说明书,演示视频,路演PPT",1-3个月,2,中,每年5-7月（以官方通知为准）,7月分赛区/8月全国决赛,团队（≤5人/队）,是,"作品原型/样机,项目计划书,演示视频,路演PPT,团队介绍","需48小时极限创客(总决赛),现场制作不确定因素多,跨文化合作挑战",教育部通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
国际大学生智能农业装备创新大赛,智能农业装备大赛,国家级A类（A4）,机械类/农业工程类,中国农业机械学会,"机械工程,农业工程,自动化,计算机科学与技术","机械设计,农业工程,嵌入式开发,传感器技术,自动化控制,创新设计","智能农业装备创新设计,农业机器人,精准农业技术","装备实物,设计方案,技术报告,演示视频",3个月以上,3,中,每年3-5月（以官方通知为准）,6月作品提交/7月评审/8月决赛,团队（3-5人/队）,是,"农业装备样机,设计方案图纸,技术报告,演示视频","农业装备制作成本高,田间实地测试条件限制",中国农业机械学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
"""学创杯""全国大学生创业综合模拟大赛",学创杯,国家级A类（A4）,创新创业类,高等学校国家级实验教学示范中心联席会,"工商管理,市场营销,会计学,人力资源管理,经济学","创业管理,企业运营,财务分析,市场营销,战略决策,团队协作","创业综合模拟赛道(主体赛),创业营销赛道(专项赛)","创业计划书,模拟运营报告,答辩PPT",1-3个月,2,中,每年1-3月（以官方通知为准）,4月校赛/5月省赛/10月国赛,团队（3人/队，指导教师1-2人）,部分,"创业模拟软件账号,商业计划书,财务报表工具(Excel),运营数据分析","模拟系统策略选择影响大,创业计划书质量差距明显",高等学校国家级实验教学示范中心联席会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国好创意暨全国数字艺术设计大赛,中国好创意大赛,国家级A类（A4）,设计类,中国电子视像行业协会,"数字媒体艺术,动画,视觉传达设计,环境设计,艺术与科技","数字媒体艺术,动画设计,视觉传达,交互设计,视频制作,游戏设计,AI创作","视觉传达类,产品造型类,空间设计类,动画类,视频类,交互体验类,数字人像类等20+类别","设计作品,动画/视频,交互原型,数字艺术作品,设计说明",1-3个月,2,中,每年10月-次年5月（以官方通知为准）,5-6月作品提交/7月评审/8月颁奖,个人或团队（≤3人/队）,是,"设计源文件(PS/AI/PR/AE),作品输出文件,设计说明文档","类别极多需精准选择,非命题作品需突出创意亮点",中国电子视像行业协会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国高校智能机器人创意大赛,高校智能机器人创意大赛,国家级A类（A4）,机械类/电子类,中国高校智能机器人创意大赛组委会,"工业工程,机器人工程,机械工程,自动化,计算机科学与技术","机器人设计,机械结构,嵌入式开发,传感器融合,控制算法,创新创意","创意类(机器人创意设计),竞技类(机器人对抗/任务),实用类(服务机器人)","机器人实物,设计报告,演示视频,答辩PPT",3个月以上,3,高,每年2-4月（以官方通知为准）,5月作品提交/6月省赛/7-8月国赛,团队（≤5人/队，指导教师≤2人）,是,"机器人平台(MCU/电机/传感器),结构件,设计图纸,源代码,演示视频","机器人调试耗时,机械/硬件故障风险,制作材料成本较高",中国高校智能机器人创意大赛组委会,"校奖,省奖,国奖",是,省级获奖率约10-15%
"""科云杯""全国大学生财会职业能力大赛",科云杯,国家级A类（A4）,经管类,中国商业会计学会,"会计学,财务管理,审计学,税收学,财政学","会计核算,财务管理,税务申报,成本核算,财务软件操作,数据分析",财会职业能力赛(本科组/高职组),"财务软件实操,会计凭证,财务报表,纳税申报表",1-3个月,2,中,每年3-5月（以官方通知为准）,5月省赛/7月国赛,团队（4人/队，指导教师1-2人）,否,"财务软件操作手册,会计实务教材,税法汇编,实操练习题库","软件操作熟练度决定成绩,4人需分工协作",中国商业会计学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生生命科学竞赛（CULSC）,生命科学竞赛(CULSC),国家级A类（A4）,生命科学类,全国大学生生命科学竞赛委员会,"食品科学与工程,生物技术,生物制药,生物工程,生命科学","生命科学知识,实验设计,实验操作,数据分析,论文写作,文献检索","科学探究类(自主选题),创新创业类","实验记录,研究论文,实验报告,答辩PPT",3个月以上,3,中,每年9-12月（以官方通知为准）,次年4月论文提交/6月省赛/8月国赛,团队（1-5人/队，指导教师1-2人）,是,"实验试剂与耗材,实验记录本,研究论文,数据图表,答辩PPT","实验周期长(6个月+),结果不确定性高,经费投入较大",全国大学生生命科学竞赛委员会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生金相技能大赛①技能大赛；②金相大会,金相技能大赛,国家级A类（A4）,材料类,教育部高等学校材料类专业教学指导委员会,"材料科学与工程,冶金工程,材料成型及控制工程,金属材料工程","金相制样,材料显微组织分析,磨抛技能,腐蚀操作,显微镜操作","金相技能大赛(个人赛),金相大会(知识+技能)","金相样品,显微组织照片,实验报告",1-3个月,2,中,每年3-5月（以官方通知为准）,6月预赛/7-8月全国决赛,个人（每校≤3人）,否,"金相试样,砂纸(粗到细),抛光布/膏,腐蚀液,显微镜","手工技能要求极高,临场发挥影响大,样品制备质量决定成绩",教育部高等学校材料类专业教学指导委员会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全球校园人工智能算法精英大赛,人工智能算法精英大赛,国家级A类（A4）,计算机类,江苏省人工智能学会,"智能科学与技术,人工智能,计算机科学与技术,数据科学","Python,机器学习,深度学习,计算机视觉,NLP,算法设计,数据分析","算法挑战赛(分类/检测/预测等),算法应用赛(AI+行业应用)","算法代码,模型文件,技术报告,演示Demo",1-3个月,2,高,每年5-8月（以官方通知为准）,8月报名截止/9月初赛/10月决赛,团队（1-3人/队）,部分,"Python编程环境,深度学习框架(PyTorch/TensorFlow),GPU算力,数据集,算法模型","算法赛需要较强数学和编程基础,GPU算力需求大",江苏省人工智能学会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国高等院校数智化企业经营沙盘大赛,数智化沙盘大赛,国家级A类（A4）,经管类,中国商业联合会,"人力资源管理,工商管理,市场营销,会计学,电子商务","企业经营管理,数智化工具,财务分析,供应链管理,市场决策,团队协作",数智企业经营管理沙盘赛道(模拟经营),"企业经营模拟数据报告,决策方案",1-3个月,2,中,每年3-5月（以官方通知为准）,5-6月省赛/7月国赛,团队（4-5人/队，指导教师1-2人）,否,"企业经营沙盘模拟系统,战略决策模板,财务分析工具","多轮决策压力大,竞争对手策略不可预测",中国商业联合会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生数字媒体科技作品及创意竞赛,数字媒体科技竞赛,国家级A类（A4）,计算机类/设计类,中国人工智能学会,"数字媒体技术,数字媒体艺术,动画,计算机科学与技术","数字媒体技术,UI/UX设计,Unity/Unreal,动画制作,视频剪辑,交互设计,AI应用","数字媒体技术应用,数字艺术设计,交互式媒体,虚拟现实(VR/AR),AIGC创作","数字媒体作品(APP/游戏/视频/动画/VR),设计文档,演示视频",1-3个月,2,中,每年5-8月（以官方通知为准）,8月作品提交/9月省赛/10月国赛,团队（≤5人/队，指导教师1-2人）,是,"开发工具(Unity/Unreal/PR/AE),作品成品,设计文档,演示视频","数字媒体工具链复杂,作品渲染输出需高性能设备",中国人工智能学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国机器人及人工智能大赛,机器人及AI大赛,国家级A类（A4）,机械类/电子类,中国人工智能学会,"机器人工程,机械工程,自动化,计算机科学与技术,人工智能","机器人开发,嵌入式系统,机器视觉,SLAM,路径规划,AI算法,ROS","机器人创新赛,机器人竞技赛(足球/武术/服务),机器人应用赛,人工智能创新赛","机器人实物,源代码,技术报告,演示视频",3个月以上,3,高,每年3-5月（以官方通知为准）,6月省赛/7-8月国赛,团队（3-5人/队）,是,"机器人开发平台(ROS/ROS2),传感器(激光雷达/摄像头),电机驱动,机械结构件,源代码","机器人硬件成本较高,现场竞技不确定因素多,需多学科团队协作",中国人工智能学会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
华为ICT大赛,华为ICT大赛,国家级A类（A4）,计算机类/通信类,华为技术有限公司,"通信工程,电子信息工程,计算机科学与技术,网络工程","路由交换,网络安全,WLAN,云计算,大数据,AI,IoT,5G","实践赛(网络/云/计算赛道),创新赛(openEuler/AI/IoT方案)","理论与实践考试(实践赛),创新方案+原型(创新赛)",1-3个月,2,中,每年6-10月（以官方通知为准）,11月初赛/12月国赛/次年5月全球赛,团队（3人/队）,是(创新赛),"华为网络设备模拟器(eNSP),华为认证教材,云计算平台账号,创新方案文档","需熟悉华为技术体系,实践赛偏重认证知识",华为ICT大赛官网,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生水利创新设计大赛,水利创新设计大赛,国家级A类（A4）,土木类/水利类,中国水利教育协会,"环境工程,水务工程,水利工程,给排水科学与工程","水利工程,水文水资源,水力学,结构设计,创新设计,模型制作,报告撰写","水利工程创新设计,水资源利用,水生态保护,水利信息化","创新设计作品/模型,设计说明书,演示视频,答辩PPT",3个月以上,3,中,每年3-5月（以官方通知为准）,6月作品提交/7月评审/8月决赛,团队（3-5人/队）,是,"物理模型/样机,设计图纸,计算书,演示视频,答辩PPT","水利模型制作周期较长,实验验证需专业实验室支持",中国水利教育协会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生信息安全与对抗技术竞赛,信息安全与对抗竞赛(ISCC),国家级A类（A4）,计算机类,中国兵工学会,"信息安全,网络空间安全,计算机科学与技术","CTF,Web安全,逆向工程,Pwn,密码学,渗透测试,安全编程","个人挑战赛(CTF在线),分组对抗赛(线下AWD),无限擂台赛","CTF解题WriteUp,渗透测试报告,安全工具",1-3个月,2,高,每年4-5月（以官方通知为准）,5月线上赛/7-8月线下决赛,"个人(个人赛),团队(分组对抗赛≤4人)",否,"CTF练习平台账号,网络安全工具(BurpSuite/IDA/GDB),渗透测试环境","CTF题型更新快需持续学习,线下AWD对抗需团队配合",中国兵工学会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
国际遗传工程机器大赛(iGEM),iGEM,国家级A类（A4）,生命科学类,iGEM Foundation,"生物工程,生物技术,生物制药,生命科学,合成生物学","合成生物学,分子生物学,基因工程,生物信息学,数学建模,网页设计,项目宣传","Overgraduate(研究生),Undergraduate(本科生),High School(高中)","生物元件/系统实物,项目Wiki网站,海报,演示视频,展示演讲",3个月以上,3,高,每年1-3月（以官方通知为准）,全年实验/10月Jamboree全球总决赛,团队（8-20人/队，含指导教师）,是,"DNA序列与质粒,实验设备与试剂,项目Wiki,团队网页,海报,演示PPT","实验周期长(6-10个月),经费投入大(数万元),跨学科团队管理难度大,需英语展示",https://igem.org,"校奖,省奖,国奖",是,省级获奖率约10-15%
全国高校BIM毕业设计创新大赛,BIM毕业设计大赛,国家级A类（A4）,土木类,中国土木工程学会,"工程管理,土木工程,建筑学,工程造价,建筑环境与能源应用工程","BIM建模,Revit,Navisworks,工程造价,施工模拟,项目管理,协同设计","BIM土建建模应用,BIM机电建模应用,BIM造价管理,BIM施工管理,建筑设计,BIM装饰设计","BIM模型,设计图纸,施工模拟视频,造价文件,答辩PPT",3个月以上,3,中,每年9-11月（以官方通知为准）,次年1-3月作品提交/4-5月省赛/6月国赛,团队（3-6人/队，指导教师1-2人）,是,"BIM软件(Revit/Navisworks/Lumion),BIM模型,施工模拟视频,造价报表","BIM软件学习曲线陡峭,团队需分工协作,电脑配置要求高",中国土木工程学会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
中国大学生高分子材料创新创业大赛,高分子材料大赛(PMC),国家级A类（A4）,材料类,中国石油和化学工业联合会,"高分子材料与工程,材料科学与工程,材料化学,化学工程与工艺","高分子材料,材料科学,实验技能,创新设计,商业计划书,PPT答辩","创新设计赛道,创业实践赛道","创新设计方案,实验样品,技术报告,商业计划书",3个月以上,3,中,每年3-5月（以官方通知为准）,6月作品提交/7月评审/8月决赛,团队（3-5人/队）,是,"高分子材料样品,实验方案,技术报告,商业计划书,答辩PPT","实验合成有安全风险,新材料性能验证周期长",中国石油和化学工业联合会通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
睿抗机器人开发者大赛（RAICOM）,RAICOM,国家级A类（A4）,机械类/电子类,工业和信息化部人才交流中心,"机器人工程,机械工程,自动化,计算机科学与技术,人工智能","机器人开发,嵌入式系统,机器视觉,ROS,机械设计,编程(C++/Python)","CAIA数字创意赛道,CAIP编程设计赛道,CAIR工程竞技赛道(足球/消防/物流),CAIM工程创意赛道","机器人实物,源代码,技术方案,演示视频",3个月以上,3,中,每年3-5月（以官方通知为准）,6月省赛/7-8月国赛,个人或团队（3-5人/队）,是,"机器人平台,传感器模块,开发板(Arduino/STM32),机械结构件,源代码","赛道方向多需精准选择,部分赛道需现场竞技调试",工业和信息化部人才交流中心通知,"校奖,省奖,国奖",是,"省赛约20-30%,国赛约5-10%"
全国大学生制药工程设计竞赛,制药工程设计竞赛,国家级A类（A4）,化工类/生命科学类,中国医药工程协会,"制药工程,生物工程,化学工程与工艺,药学","制药工程,工艺流程设计,GMP规范,设备选型,AutoCAD制图,工程经济分析",全国统一命题(年度设计任务书),"工艺流程图(PFD/P&ID),设备布置图,设计说明书,经济分析报告",3个月以上,3,高,每年3-4月（以官方通知为准）,7月作品提交/8月全国总决赛,团队（5人/队，同一学校）,部分,"制药工程设计说明书,工艺流程图,设备清单,厂区布置图,GMP合规分析","设计任务书发布时间紧,制药GMP规范要求严格,需跨专业协作",中国医药工程协会通知,"校奖,省奖,国奖",是,省级获奖率约10-15%
